11/24/2022 04:15:46 PM : Security - Log in [1, admin@email.com, 127.0.0.1]
11/24/2022 04:16:30 PM : Security - Log out [1, admin@email.com, 127.0.0.1]
11/24/2022 04:17:01 PM : Security - User registration [gab@gmail.com, 127.0.0.1]
11/24/2022 04:17:10 PM : Security - Log in [6, gab@gmail.com, 127.0.0.1]
11/24/2022 04:17:11 PM : Security - Log out [6, gab@gmail.com, 127.0.0.1]
11/24/2022 04:17:20 PM : Security - Log in [2, luca@gmail.com, 127.0.0.1]
11/24/2022 04:17:21 PM : Security - Log out [2, luca@gmail.com, 127.0.0.1]
11/24/2022 04:17:28 PM : Security - Log in [1, admin@email.com, 127.0.0.1]
11/24/2022 04:28:29 PM : Security - Log out [1, admin@email.com, 127.0.0.1]
11/24/2022 04:28:40 PM : Security - Log in [2, luca@gmail.com, 127.0.0.1]
11/24/2022 04:49:22 PM : Security - Log out [2, luca@gmail.com, 127.0.0.1]
11/24/2022 04:49:29 PM : Security - Log in [1, admin@email.com, 127.0.0.1]
